Tiempo [min]	Temperatura [°C]	% Apertura	Setpoint [°C]	Flujo (d)
0	26,2	20	30	1,5
1	27,9	27,4	30	1,5
2	29,3	31,6	30	1,5
3	30,8	30,2	30	1,5
4	32	20,4	30	1,5
5	32,5	14,2	30	1,5
6	32,5	4,2	30	1,5
7	32	0	30	1,5
8	31,6	0	30	1,5
9	30,7	0	30	1,5
10	29,5	0	30	1,5
11	29,2	0,3	30	1,5
12	29	2,4	30	1,5
13	28	6,6	30	1,5
14	28,3	11	30	1,5
15	28,6	14,8	30	1,5
16	29,3	33,7	30	1,5
17	31,4	47	35	1,5
18	33,9	44,4	35	1,5
19	35,8	55,3	35	1,5
20	37,7	48,2	35	1,5
21	39	37,2	35	1,5
22	39,4	19,8	35	1,5
23	38,8	3,4	35	1,5
24	37	0	35	1,5
25	35,7	0	35	1,5
26	34,5	0	35	1,5
27	33,3	2	35	1,5
28	32,8	8,1	35	1,5
29	32,5	15,1	35	1,5
30	32,7	21,9	35	1,5
31	33,5	27,4	35	1,5
32	34,5	29,6	35	1,5
33	35,3	28,4	35	1,5
34	36,3	18,6	35	1,5
35	36,3	12	35	1,5
36	35,7	8,9	35	1,5
37	35	4	35	1,5
38	34,2	4	35	1,5
39	33,2	7,3	35	1,5
40	33,1	11,7	35	1,5
41	33,3	16,7	35	1,5
42	33,6	21,3	35	1,5
43	33,3	1,2	35	1,5
44	32,7	7,3	35	1,5
45	32,3	7,4	35	1,5
46	33	23,3	35	2
47	33,5	29	35	2
48	34,1	29,9	35	2
49	34,9	30,1	35	2
50	35,3	28,4	35	2
51	35,6	24,4	35	2
52	36,7	19,6	35	2
53	35,3	15,9	35	2
54	34,7	13,5	35	2
